claim_id,claim_text_or_token,value,source_file_and_field,evidence_date,evidence_role,page_audience,status,action
data:e11_breakeven.epfl_vs_plain_cse.n_total,e11_breakeven.epfl_vs_plain_cse.n_total,129,"deliverables_n22_24/b1_e3_replay_2026_08_03/cm_gap_e3_corrected_results_2026_08_02.json :: formulas[].breakeven_evals_vs_cse, .never_breaks_even_vs_cse, .prep_ratio_cm_vs_cse (histogram + median recomputed here) | deliverables_n22_24/cm_gap_epfl_results_2026_08_03.json :: rows[].breakeven_evals_vs_cse_flat, .never_breaks_even_vs_cse_flat (status=ok) | deliverables_n22_24/cm_gap_epfl_results_2026_08_03.json :: rows[].breakeven_evals_vs_cse, .never_breaks_even_vs_cse, .prep_ratio_cm_vs_cse (matched-baseline arm, recomputed here) | deliverables_n22_24/epfl_run_2026_08_03/cm_gap_epfl_analysis_2026_08_03.json :: prep_multiple_cm_vs_cse_flat_geomean, breakeven_vs_cse_flat",2026-08-03,accepted benchmark or repository evidence,generated payload in all five pages; rendered by shared figures/content where applicable,current,retained or added from authoritative artifact
data:e11_breakeven.epfl_vs_plain_cse.n_finite,e11_breakeven.epfl_vs_plain_cse.n_finite,100,"deliverables_n22_24/b1_e3_replay_2026_08_03/cm_gap_e3_corrected_results_2026_08_02.json :: formulas[].breakeven_evals_vs_cse, .never_breaks_even_vs_cse, .prep_ratio_cm_vs_cse (histogram + median recomputed here) | deliverables_n22_24/cm_gap_epfl_results_2026_08_03.json :: rows[].breakeven_evals_vs_cse_flat, .never_breaks_even_vs_cse_flat (status=ok) | deliverables_n22_24/cm_gap_epfl_results_2026_08_03.json :: rows[].breakeven_evals_vs_cse, .never_breaks_even_vs_cse, .prep_ratio_cm_vs_cse (matched-baseline arm, recomputed here) | deliverables_n22_24/epfl_run_2026_08_03/cm_gap_epfl_analysis_2026_08_03.json :: prep_multiple_cm_vs_cse_flat_geomean, breakeven_vs_cse_flat",2026-08-03,accepted benchmark or repository evidence,generated payload in all five pages; rendered by shared figures/content where applicable,current,retained or added from authoritative artifact
data:e11_breakeven.epfl_vs_plain_cse.n_never,e11_breakeven.epfl_vs_plain_cse.n_never,29,"deliverables_n22_24/b1_e3_replay_2026_08_03/cm_gap_e3_corrected_results_2026_08_02.json :: formulas[].breakeven_evals_vs_cse, .never_breaks_even_vs_cse, .prep_ratio_cm_vs_cse (histogram + median recomputed here) | deliverables_n22_24/cm_gap_epfl_results_2026_08_03.json :: rows[].breakeven_evals_vs_cse_flat, .never_breaks_even_vs_cse_flat (status=ok) | deliverables_n22_24/cm_gap_epfl_results_2026_08_03.json :: rows[].breakeven_evals_vs_cse, .never_breaks_even_vs_cse, .prep_ratio_cm_vs_cse (matched-baseline arm, recomputed here) | deliverables_n22_24/epfl_run_2026_08_03/cm_gap_epfl_analysis_2026_08_03.json :: prep_multiple_cm_vs_cse_flat_geomean, breakeven_vs_cse_flat",2026-08-03,accepted benchmark or repository evidence,generated payload in all five pages; rendered by shared figures/content where applicable,current,retained or added from authoritative artifact
data:e11_breakeven.epfl_vs_plain_cse.median_finite,e11_breakeven.epfl_vs_plain_cse.median_finite,105.0,"deliverables_n22_24/b1_e3_replay_2026_08_03/cm_gap_e3_corrected_results_2026_08_02.json :: formulas[].breakeven_evals_vs_cse, .never_breaks_even_vs_cse, .prep_ratio_cm_vs_cse (histogram + median recomputed here) | deliverables_n22_24/cm_gap_epfl_results_2026_08_03.json :: rows[].breakeven_evals_vs_cse_flat, .never_breaks_even_vs_cse_flat (status=ok) | deliverables_n22_24/cm_gap_epfl_results_2026_08_03.json :: rows[].breakeven_evals_vs_cse, .never_breaks_even_vs_cse, .prep_ratio_cm_vs_cse (matched-baseline arm, recomputed here) | deliverables_n22_24/epfl_run_2026_08_03/cm_gap_epfl_analysis_2026_08_03.json :: prep_multiple_cm_vs_cse_flat_geomean, breakeven_vs_cse_flat",2026-08-03,accepted benchmark or repository evidence,generated payload in all five pages; rendered by shared figures/content where applicable,current,retained or added from authoritative artifact
data:e11_breakeven.epfl_vs_plain_cse.prep_multiple_geomean,e11_breakeven.epfl_vs_plain_cse.prep_multiple_geomean,4.214829880300661,"deliverables_n22_24/b1_e3_replay_2026_08_03/cm_gap_e3_corrected_results_2026_08_02.json :: formulas[].breakeven_evals_vs_cse, .never_breaks_even_vs_cse, .prep_ratio_cm_vs_cse (histogram + median recomputed here) | deliverables_n22_24/cm_gap_epfl_results_2026_08_03.json :: rows[].breakeven_evals_vs_cse_flat, .never_breaks_even_vs_cse_flat (status=ok) | deliverables_n22_24/cm_gap_epfl_results_2026_08_03.json :: rows[].breakeven_evals_vs_cse, .never_breaks_even_vs_cse, .prep_ratio_cm_vs_cse (matched-baseline arm, recomputed here) | deliverables_n22_24/epfl_run_2026_08_03/cm_gap_epfl_analysis_2026_08_03.json :: prep_multiple_cm_vs_cse_flat_geomean, breakeven_vs_cse_flat",2026-08-03,accepted benchmark or repository evidence,generated payload in all five pages; rendered by shared figures/content where applicable,current,retained or added from authoritative artifact
data:e12_cudd.rows[0].live_k,e12_cudd.rows[0].live_k,8,"deliverables_n22_24/b5_cudd_2026_08_03_run5/CM_b5_cudd_matched_summary_2026_08_03.csv :: all rows (medians per stratum) | deliverables_n22_24/b5_cudd_2026_08_03_run5/cm_b5_cudd_matched_results_2026_08_03.json :: rows[].robdd_is_cudd, .cudd_full_extraction_equal, .packed_equal_cm_cse_flat; _meta | deliverables_n22_24/b5_cudd_2026_08_03_run5/b5_pod_audit_2026_08_03.json :: cpu_flavor, vcpu_count, terminated, state.env",2026-08-03,accepted benchmark or repository evidence,generated payload in all five pages; rendered by shared figures/content where applicable,current,retained or added from authoritative artifact
data:e12_cudd.rows[0].n,e12_cudd.rows[0].n,64,"deliverables_n22_24/b5_cudd_2026_08_03_run5/CM_b5_cudd_matched_summary_2026_08_03.csv :: all rows (medians per stratum) | deliverables_n22_24/b5_cudd_2026_08_03_run5/cm_b5_cudd_matched_results_2026_08_03.json :: rows[].robdd_is_cudd, .cudd_full_extraction_equal, .packed_equal_cm_cse_flat; _meta | deliverables_n22_24/b5_cudd_2026_08_03_run5/b5_pod_audit_2026_08_03.json :: cpu_flavor, vcpu_count, terminated, state.env",2026-08-03,accepted benchmark or repository evidence,generated payload in all five pages; rendered by shared figures/content where applicable,current,retained or added from authoritative artifact
data:e12_cudd.rows[0].cm_prep_us,e12_cudd.rows[0].cm_prep_us,266.11200883053243,"deliverables_n22_24/b5_cudd_2026_08_03_run5/CM_b5_cudd_matched_summary_2026_08_03.csv :: all rows (medians per stratum) | deliverables_n22_24/b5_cudd_2026_08_03_run5/cm_b5_cudd_matched_results_2026_08_03.json :: rows[].robdd_is_cudd, .cudd_full_extraction_equal, .packed_equal_cm_cse_flat; _meta | deliverables_n22_24/b5_cudd_2026_08_03_run5/b5_pod_audit_2026_08_03.json :: cpu_flavor, vcpu_count, terminated, state.env",2026-08-03,accepted benchmark or repository evidence,generated payload in all five pages; rendered by shared figures/content where applicable,current,retained or added from authoritative artifact
data:e12_cudd.rows[0].cse_flat_prep_us,e12_cudd.rows[0].cse_flat_prep_us,77.51749944873154,"deliverables_n22_24/b5_cudd_2026_08_03_run5/CM_b5_cudd_matched_summary_2026_08_03.csv :: all rows (medians per stratum) | deliverables_n22_24/b5_cudd_2026_08_03_run5/cm_b5_cudd_matched_results_2026_08_03.json :: rows[].robdd_is_cudd, .cudd_full_extraction_equal, .packed_equal_cm_cse_flat; _meta | deliverables_n22_24/b5_cudd_2026_08_03_run5/b5_pod_audit_2026_08_03.json :: cpu_flavor, vcpu_count, terminated, state.env",2026-08-03,accepted benchmark or repository evidence,generated payload in all five pages; rendered by shared figures/content where applicable,current,retained or added from authoritative artifact
data:e12_cudd.rows[0].cudd_build_us,e12_cudd.rows[0].cudd_build_us,2488.0135024432093,"deliverables_n22_24/b5_cudd_2026_08_03_run5/CM_b5_cudd_matched_summary_2026_08_03.csv :: all rows (medians per stratum) | deliverables_n22_24/b5_cudd_2026_08_03_run5/cm_b5_cudd_matched_results_2026_08_03.json :: rows[].robdd_is_cudd, .cudd_full_extraction_equal, .packed_equal_cm_cse_flat; _meta | deliverables_n22_24/b5_cudd_2026_08_03_run5/b5_pod_audit_2026_08_03.json :: cpu_flavor, vcpu_count, terminated, state.env",2026-08-03,accepted benchmark or repository evidence,generated payload in all five pages; rendered by shared figures/content where applicable,current,retained or added from authoritative artifact
data:e12_cudd.rows[0].cm_kernel_us,e12_cudd.rows[0].cm_kernel_us,15.43517428217456,"deliverables_n22_24/b5_cudd_2026_08_03_run5/CM_b5_cudd_matched_summary_2026_08_03.csv :: all rows (medians per stratum) | deliverables_n22_24/b5_cudd_2026_08_03_run5/cm_b5_cudd_matched_results_2026_08_03.json :: rows[].robdd_is_cudd, .cudd_full_extraction_equal, .packed_equal_cm_cse_flat; _meta | deliverables_n22_24/b5_cudd_2026_08_03_run5/b5_pod_audit_2026_08_03.json :: cpu_flavor, vcpu_count, terminated, state.env",2026-08-03,accepted benchmark or repository evidence,generated payload in all five pages; rendered by shared figures/content where applicable,current,retained or added from authoritative artifact
data:e12_cudd.rows[0].cse_flat_kernel_us,e12_cudd.rows[0].cse_flat_kernel_us,16.73170190770179,"deliverables_n22_24/b5_cudd_2026_08_03_run5/CM_b5_cudd_matched_summary_2026_08_03.csv :: all rows (medians per stratum) | deliverables_n22_24/b5_cudd_2026_08_03_run5/cm_b5_cudd_matched_results_2026_08_03.json :: rows[].robdd_is_cudd, .cudd_full_extraction_equal, .packed_equal_cm_cse_flat; _meta | deliverables_n22_24/b5_cudd_2026_08_03_run5/b5_pod_audit_2026_08_03.json :: cpu_flavor, vcpu_count, terminated, state.env",2026-08-03,accepted benchmark or repository evidence,generated payload in all five pages; rendered by shared figures/content where applicable,current,retained or added from authoritative artifact
data:e12_cudd.rows[0].cudd_eval256_us,e12_cudd.rows[0].cudd_eval256_us,402.9015253763646,"deliverables_n22_24/b5_cudd_2026_08_03_run5/CM_b5_cudd_matched_summary_2026_08_03.csv :: all rows (medians per stratum) | deliverables_n22_24/b5_cudd_2026_08_03_run5/cm_b5_cudd_matched_results_2026_08_03.json :: rows[].robdd_is_cudd, .cudd_full_extraction_equal, .packed_equal_cm_cse_flat; _meta | deliverables_n22_24/b5_cudd_2026_08_03_run5/b5_pod_audit_2026_08_03.json :: cpu_flavor, vcpu_count, terminated, state.env",2026-08-03,accepted benchmark or repository evidence,generated payload in all five pages; rendered by shared figures/content where applicable,current,retained or added from authoritative artifact
data:e12_cudd.rows[0].cudd_extract_full_us,e12_cudd.rows[0].cudd_extract_full_us,1139.3664753995836,"deliverables_n22_24/b5_cudd_2026_08_03_run5/CM_b5_cudd_matched_summary_2026_08_03.csv :: all rows (medians per stratum) | deliverables_n22_24/b5_cudd_2026_08_03_run5/cm_b5_cudd_matched_results_2026_08_03.json :: rows[].robdd_is_cudd, .cudd_full_extraction_equal, .packed_equal_cm_cse_flat; _meta | deliverables_n22_24/b5_cudd_2026_08_03_run5/b5_pod_audit_2026_08_03.json :: cpu_flavor, vcpu_count, terminated, state.env",2026-08-03,accepted benchmark or repository evidence,generated payload in all five pages; rendered by shared figures/content where applicable,current,retained or added from authoritative artifact
data:e12_cudd.rows[0].cudd_dag_size,e12_cudd.rows[0].cudd_dag_size,17.0,"deliverables_n22_24/b5_cudd_2026_08_03_run5/CM_b5_cudd_matched_summary_2026_08_03.csv :: all rows (medians per stratum) | deliverables_n22_24/b5_cudd_2026_08_03_run5/cm_b5_cudd_matched_results_2026_08_03.json :: rows[].robdd_is_cudd, .cudd_full_extraction_equal, .packed_equal_cm_cse_flat; _meta | deliverables_n22_24/b5_cudd_2026_08_03_run5/b5_pod_audit_2026_08_03.json :: cpu_flavor, vcpu_count, terminated, state.env",2026-08-03,accepted benchmark or repository evidence,generated payload in all five pages; rendered by shared figures/content where applicable,current,retained or added from authoritative artifact
data:e12_cudd.rows[1].live_k,e12_cudd.rows[1].live_k,12,"deliverables_n22_24/b5_cudd_2026_08_03_run5/CM_b5_cudd_matched_summary_2026_08_03.csv :: all rows (medians per stratum) | deliverables_n22_24/b5_cudd_2026_08_03_run5/cm_b5_cudd_matched_results_2026_08_03.json :: rows[].robdd_is_cudd, .cudd_full_extraction_equal, .packed_equal_cm_cse_flat; _meta | deliverables_n22_24/b5_cudd_2026_08_03_run5/b5_pod_audit_2026_08_03.json :: cpu_flavor, vcpu_count, terminated, state.env",2026-08-03,accepted benchmark or repository evidence,generated payload in all five pages; rendered by shared figures/content where applicable,current,retained or added from authoritative artifact
data:e12_cudd.rows[1].n,e12_cudd.rows[1].n,64,"deliverables_n22_24/b5_cudd_2026_08_03_run5/CM_b5_cudd_matched_summary_2026_08_03.csv :: all rows (medians per stratum) | deliverables_n22_24/b5_cudd_2026_08_03_run5/cm_b5_cudd_matched_results_2026_08_03.json :: rows[].robdd_is_cudd, .cudd_full_extraction_equal, .packed_equal_cm_cse_flat; _meta | deliverables_n22_24/b5_cudd_2026_08_03_run5/b5_pod_audit_2026_08_03.json :: cpu_flavor, vcpu_count, terminated, state.env",2026-08-03,accepted benchmark or repository evidence,generated payload in all five pages; rendered by shared figures/content where applicable,current,retained or added from authoritative artifact
data:e12_cudd.rows[1].cm_prep_us,e12_cudd.rows[1].cm_prep_us,387.8760035149753,"deliverables_n22_24/b5_cudd_2026_08_03_run5/CM_b5_cudd_matched_summary_2026_08_03.csv :: all rows (medians per stratum) | deliverables_n22_24/b5_cudd_2026_08_03_run5/cm_b5_cudd_matched_results_2026_08_03.json :: rows[].robdd_is_cudd, .cudd_full_extraction_equal, .packed_equal_cm_cse_flat; _meta | deliverables_n22_24/b5_cudd_2026_08_03_run5/b5_pod_audit_2026_08_03.json :: cpu_flavor, vcpu_count, terminated, state.env",2026-08-03,accepted benchmark or repository evidence,generated payload in all five pages; rendered by shared figures/content where applicable,current,retained or added from authoritative artifact
data:e12_cudd.rows[1].cse_flat_prep_us,e12_cudd.rows[1].cse_flat_prep_us,106.69298353604972,"deliverables_n22_24/b5_cudd_2026_08_03_run5/CM_b5_cudd_matched_summary_2026_08_03.csv :: all rows (medians per stratum) | deliverables_n22_24/b5_cudd_2026_08_03_run5/cm_b5_cudd_matched_results_2026_08_03.json :: rows[].robdd_is_cudd, .cudd_full_extraction_equal, .packed_equal_cm_cse_flat; _meta | deliverables_n22_24/b5_cudd_2026_08_03_run5/b5_pod_audit_2026_08_03.json :: cpu_flavor, vcpu_count, terminated, state.env",2026-08-03,accepted benchmark or repository evidence,generated payload in all five pages; rendered by shared figures/content where applicable,current,retained or added from authoritative artifact
data:e12_cudd.rows[1].cudd_build_us,e12_cudd.rows[1].cudd_build_us,2507.1240088436753,"deliverables_n22_24/b5_cudd_2026_08_03_run5/CM_b5_cudd_matched_summary_2026_08_03.csv :: all rows (medians per stratum) | deliverables_n22_24/b5_cudd_2026_08_03_run5/cm_b5_cudd_matched_results_2026_08_03.json :: rows[].robdd_is_cudd, .cudd_full_extraction_equal, .packed_equal_cm_cse_flat; _meta | deliverables_n22_24/b5_cudd_2026_08_03_run5/b5_pod_audit_2026_08_03.json :: cpu_flavor, vcpu_count, terminated, state.env",2026-08-03,accepted benchmark or repository evidence,generated payload in all five pages; rendered by shared figures/content where applicable,current,retained or added from authoritative artifact
data:e12_cudd.rows[1].cm_kernel_us,e12_cudd.rows[1].cm_kernel_us,24.16714996797964,"deliverables_n22_24/b5_cudd_2026_08_03_run5/CM_b5_cudd_matched_summary_2026_08_03.csv :: all rows (medians per stratum) | deliverables_n22_24/b5_cudd_2026_08_03_run5/cm_b5_cudd_matched_results_2026_08_03.json :: rows[].robdd_is_cudd, .cudd_full_extraction_equal, .packed_equal_cm_cse_flat; _meta | deliverables_n22_24/b5_cudd_2026_08_03_run5/b5_pod_audit_2026_08_03.json :: cpu_flavor, vcpu_count, terminated, state.env",2026-08-03,accepted benchmark or repository evidence,generated payload in all five pages; rendered by shared figures/content where applicable,current,retained or added from authoritative artifact
data:e12_cudd.rows[1].cse_flat_kernel_us,e12_cudd.rows[1].cse_flat_kernel_us,25.12917562853545,"deliverables_n22_24/b5_cudd_2026_08_03_run5/CM_b5_cudd_matched_summary_2026_08_03.csv :: all rows (medians per stratum) | deliverables_n22_24/b5_cudd_2026_08_03_run5/cm_b5_cudd_matched_results_2026_08_03.json :: rows[].robdd_is_cudd, .cudd_full_extraction_equal, .packed_equal_cm_cse_flat; _meta | deliverables_n22_24/b5_cudd_2026_08_03_run5/b5_pod_audit_2026_08_03.json :: cpu_flavor, vcpu_count, terminated, state.env",2026-08-03,accepted benchmark or repository evidence,generated payload in all five pages; rendered by shared figures/content where applicable,current,retained or added from authoritative artifact
data:e12_cudd.rows[1].cudd_eval256_us,e12_cudd.rows[1].cudd_eval256_us,584.7910069860518,"deliverables_n22_24/b5_cudd_2026_08_03_run5/CM_b5_cudd_matched_summary_2026_08_03.csv :: all rows (medians per stratum) | deliverables_n22_24/b5_cudd_2026_08_03_run5/cm_b5_cudd_matched_results_2026_08_03.json :: rows[].robdd_is_cudd, .cudd_full_extraction_equal, .packed_equal_cm_cse_flat; _meta | deliverables_n22_24/b5_cudd_2026_08_03_run5/b5_pod_audit_2026_08_03.json :: cpu_flavor, vcpu_count, terminated, state.env",2026-08-03,accepted benchmark or repository evidence,generated payload in all five pages; rendered by shared figures/content where applicable,current,retained or added from authoritative artifact
data:e12_cudd.rows[1].cudd_extract_full_us,e12_cudd.rows[1].cudd_extract_full_us,25584.161485312507,"deliverables_n22_24/b5_cudd_2026_08_03_run5/CM_b5_cudd_matched_summary_2026_08_03.csv :: all rows (medians per stratum) | deliverables_n22_24/b5_cudd_2026_08_03_run5/cm_b5_cudd_matched_results_2026_08_03.json :: rows[].robdd_is_cudd, .cudd_full_extraction_equal, .packed_equal_cm_cse_flat; _meta | deliverables_n22_24/b5_cudd_2026_08_03_run5/b5_pod_audit_2026_08_03.json :: cpu_flavor, vcpu_count, terminated, state.env",2026-08-03,accepted benchmark or repository evidence,generated payload in all five pages; rendered by shared figures/content where applicable,current,retained or added from authoritative artifact
data:e12_cudd.rows[1].cudd_dag_size,e12_cudd.rows[1].cudd_dag_size,42.0,"deliverables_n22_24/b5_cudd_2026_08_03_run5/CM_b5_cudd_matched_summary_2026_08_03.csv :: all rows (medians per stratum) | deliverables_n22_24/b5_cudd_2026_08_03_run5/cm_b5_cudd_matched_results_2026_08_03.json :: rows[].robdd_is_cudd, .cudd_full_extraction_equal, .packed_equal_cm_cse_flat; _meta | deliverables_n22_24/b5_cudd_2026_08_03_run5/b5_pod_audit_2026_08_03.json :: cpu_flavor, vcpu_count, terminated, state.env",2026-08-03,accepted benchmark or repository evidence,generated payload in all five pages; rendered by shared figures/content where applicable,current,retained or added from authoritative artifact
data:e12_cudd.rows[2].live_k,e12_cudd.rows[2].live_k,16,"deliverables_n22_24/b5_cudd_2026_08_03_run5/CM_b5_cudd_matched_summary_2026_08_03.csv :: all rows (medians per stratum) | deliverables_n22_24/b5_cudd_2026_08_03_run5/cm_b5_cudd_matched_results_2026_08_03.json :: rows[].robdd_is_cudd, .cudd_full_extraction_equal, .packed_equal_cm_cse_flat; _meta | deliverables_n22_24/b5_cudd_2026_08_03_run5/b5_pod_audit_2026_08_03.json :: cpu_flavor, vcpu_count, terminated, state.env",2026-08-03,accepted benchmark or repository evidence,generated payload in all five pages; rendered by shared figures/content where applicable,current,retained or added from authoritative artifact
data:e12_cudd.rows[2].n,e12_cudd.rows[2].n,64,"deliverables_n22_24/b5_cudd_2026_08_03_run5/CM_b5_cudd_matched_summary_2026_08_03.csv :: all rows (medians per stratum) | deliverables_n22_24/b5_cudd_2026_08_03_run5/cm_b5_cudd_matched_results_2026_08_03.json :: rows[].robdd_is_cudd, .cudd_full_extraction_equal, .packed_equal_cm_cse_flat; _meta | deliverables_n22_24/b5_cudd_2026_08_03_run5/b5_pod_audit_2026_08_03.json :: cpu_flavor, vcpu_count, terminated, state.env",2026-08-03,accepted benchmark or repository evidence,generated payload in all five pages; rendered by shared figures/content where applicable,current,retained or added from authoritative artifact
data:e12_cudd.rows[2].cm_prep_us,e12_cudd.rows[2].cm_prep_us,521.0645031183958,"deliverables_n22_24/b5_cudd_2026_08_03_run5/CM_b5_cudd_matched_summary_2026_08_03.csv :: all rows (medians per stratum) | deliverables_n22_24/b5_cudd_2026_08_03_run5/cm_b5_cudd_matched_results_2026_08_03.json :: rows[].robdd_is_cudd, .cudd_full_extraction_equal, .packed_equal_cm_cse_flat; _meta | deliverables_n22_24/b5_cudd_2026_08_03_run5/b5_pod_audit_2026_08_03.json :: cpu_flavor, vcpu_count, terminated, state.env",2026-08-03,accepted benchmark or repository evidence,generated payload in all five pages; rendered by shared figures/content where applicable,current,retained or added from authoritative artifact
data:e12_cudd.rows[2].cse_flat_prep_us,e12_cudd.rows[2].cse_flat_prep_us,128.6185288336128,"deliverables_n22_24/b5_cudd_2026_08_03_run5/CM_b5_cudd_matched_summary_2026_08_03.csv :: all rows (medians per stratum) | deliverables_n22_24/b5_cudd_2026_08_03_run5/cm_b5_cudd_matched_results_2026_08_03.json :: rows[].robdd_is_cudd, .cudd_full_extraction_equal, .packed_equal_cm_cse_flat; _meta | deliverables_n22_24/b5_cudd_2026_08_03_run5/b5_pod_audit_2026_08_03.json :: cpu_flavor, vcpu_count, terminated, state.env",2026-08-03,accepted benchmark or repository evidence,generated payload in all five pages; rendered by shared figures/content where applicable,current,retained or added from authoritative artifact
data:e12_cudd.rows[2].cudd_build_us,e12_cudd.rows[2].cudd_build_us,2579.9009890761226,"deliverables_n22_24/b5_cudd_2026_08_03_run5/CM_b5_cudd_matched_summary_2026_08_03.csv :: all rows (medians per stratum) | deliverables_n22_24/b5_cudd_2026_08_03_run5/cm_b5_cudd_matched_results_2026_08_03.json :: rows[].robdd_is_cudd, .cudd_full_extraction_equal, .packed_equal_cm_cse_flat; _meta | deliverables_n22_24/b5_cudd_2026_08_03_run5/b5_pod_audit_2026_08_03.json :: cpu_flavor, vcpu_count, terminated, state.env",2026-08-03,accepted benchmark or repository evidence,generated payload in all five pages; rendered by shared figures/content where applicable,current,retained or added from authoritative artifact
data:e12_cudd.rows[2].cm_kernel_us,e12_cudd.rows[2].cm_kernel_us,45.40524969343096,"deliverables_n22_24/b5_cudd_2026_08_03_run5/CM_b5_cudd_matched_summary_2026_08_03.csv :: all rows (medians per stratum) | deliverables_n22_24/b5_cudd_2026_08_03_run5/cm_b5_cudd_matched_results_2026_08_03.json :: rows[].robdd_is_cudd, .cudd_full_extraction_equal, .packed_equal_cm_cse_flat; _meta | deliverables_n22_24/b5_cudd_2026_08_03_run5/b5_pod_audit_2026_08_03.json :: cpu_flavor, vcpu_count, terminated, state.env",2026-08-03,accepted benchmark or repository evidence,generated payload in all five pages; rendered by shared figures/content where applicable,current,retained or added from authoritative artifact
data:e12_cudd.rows[2].cse_flat_kernel_us,e12_cudd.rows[2].cse_flat_kernel_us,47.3843261715956,"deliverables_n22_24/b5_cudd_2026_08_03_run5/CM_b5_cudd_matched_summary_2026_08_03.csv :: all rows (medians per stratum) | deliverables_n22_24/b5_cudd_2026_08_03_run5/cm_b5_cudd_matched_results_2026_08_03.json :: rows[].robdd_is_cudd, .cudd_full_extraction_equal, .packed_equal_cm_cse_flat; _meta | deliverables_n22_24/b5_cudd_2026_08_03_run5/b5_pod_audit_2026_08_03.json :: cpu_flavor, vcpu_count, terminated, state.env",2026-08-03,accepted benchmark or repository evidence,generated payload in all five pages; rendered by shared figures/content where applicable,current,retained or added from authoritative artifact
data:e12_cudd.rows[2].cudd_eval256_us,e12_cudd.rows[2].cudd_eval256_us,994.0580348484218,"deliverables_n22_24/b5_cudd_2026_08_03_run5/CM_b5_cudd_matched_summary_2026_08_03.csv :: all rows (medians per stratum) | deliverables_n22_24/b5_cudd_2026_08_03_run5/cm_b5_cudd_matched_results_2026_08_03.json :: rows[].robdd_is_cudd, .cudd_full_extraction_equal, .packed_equal_cm_cse_flat; _meta | deliverables_n22_24/b5_cudd_2026_08_03_run5/b5_pod_audit_2026_08_03.json :: cpu_flavor, vcpu_count, terminated, state.env",2026-08-03,accepted benchmark or repository evidence,generated payload in all five pages; rendered by shared figures/content where applicable,current,retained or added from authoritative artifact
data:e12_cudd.rows[2].cudd_extract_full_us,e12_cudd.rows[2].cudd_extract_full_us,580357.4894962367,"deliverables_n22_24/b5_cudd_2026_08_03_run5/CM_b5_cudd_matched_summary_2026_08_03.csv :: all rows (medians per stratum) | deliverables_n22_24/b5_cudd_2026_08_03_run5/cm_b5_cudd_matched_results_2026_08_03.json :: rows[].robdd_is_cudd, .cudd_full_extraction_equal, .packed_equal_cm_cse_flat; _meta | deliverables_n22_24/b5_cudd_2026_08_03_run5/b5_pod_audit_2026_08_03.json :: cpu_flavor, vcpu_count, terminated, state.env",2026-08-03,accepted benchmark or repository evidence,generated payload in all five pages; rendered by shared figures/content where applicable,current,retained or added from authoritative artifact
data:e12_cudd.rows[2].cudd_dag_size,e12_cudd.rows[2].cudd_dag_size,78.0,"deliverables_n22_24/b5_cudd_2026_08_03_run5/CM_b5_cudd_matched_summary_2026_08_03.csv :: all rows (medians per stratum) | deliverables_n22_24/b5_cudd_2026_08_03_run5/cm_b5_cudd_matched_results_2026_08_03.json :: rows[].robdd_is_cudd, .cudd_full_extraction_equal, .packed_equal_cm_cse_flat; _meta | deliverables_n22_24/b5_cudd_2026_08_03_run5/b5_pod_audit_2026_08_03.json :: cpu_flavor, vcpu_count, terminated, state.env",2026-08-03,accepted benchmark or repository evidence,generated payload in all five pages; rendered by shared figures/content where applicable,current,retained or added from authoritative artifact
data:e12_cudd.integrity.n_rows,e12_cudd.integrity.n_rows,192,"deliverables_n22_24/b5_cudd_2026_08_03_run5/CM_b5_cudd_matched_summary_2026_08_03.csv :: all rows (medians per stratum) | deliverables_n22_24/b5_cudd_2026_08_03_run5/cm_b5_cudd_matched_results_2026_08_03.json :: rows[].robdd_is_cudd, .cudd_full_extraction_equal, .packed_equal_cm_cse_flat; _meta | deliverables_n22_24/b5_cudd_2026_08_03_run5/b5_pod_audit_2026_08_03.json :: cpu_flavor, vcpu_count, terminated, state.env",2026-08-03,accepted benchmark or repository evidence,generated payload in all five pages; rendered by shared figures/content where applicable,current,retained or added from authoritative artifact
data:e12_cudd.integrity.robdd_is_cudd_all,e12_cudd.integrity.robdd_is_cudd_all,True,"deliverables_n22_24/b5_cudd_2026_08_03_run5/CM_b5_cudd_matched_summary_2026_08_03.csv :: all rows (medians per stratum) | deliverables_n22_24/b5_cudd_2026_08_03_run5/cm_b5_cudd_matched_results_2026_08_03.json :: rows[].robdd_is_cudd, .cudd_full_extraction_equal, .packed_equal_cm_cse_flat; _meta | deliverables_n22_24/b5_cudd_2026_08_03_run5/b5_pod_audit_2026_08_03.json :: cpu_flavor, vcpu_count, terminated, state.env",2026-08-03,accepted benchmark or repository evidence,generated payload in all five pages; rendered by shared figures/content where applicable,current,retained or added from authoritative artifact
data:e12_cudd.integrity.full_extraction_equal_all,e12_cudd.integrity.full_extraction_equal_all,True,"deliverables_n22_24/b5_cudd_2026_08_03_run5/CM_b5_cudd_matched_summary_2026_08_03.csv :: all rows (medians per stratum) | deliverables_n22_24/b5_cudd_2026_08_03_run5/cm_b5_cudd_matched_results_2026_08_03.json :: rows[].robdd_is_cudd, .cudd_full_extraction_equal, .packed_equal_cm_cse_flat; _meta | deliverables_n22_24/b5_cudd_2026_08_03_run5/b5_pod_audit_2026_08_03.json :: cpu_flavor, vcpu_count, terminated, state.env",2026-08-03,accepted benchmark or repository evidence,generated payload in all five pages; rendered by shared figures/content where applicable,current,retained or added from authoritative artifact
